job_title,job_low_salary,job_high_salary,job_ave_salary,job_company,job_company_tag,job_education,job_experience,company_city,job_type,job_mean_salary,experience
少儿编程讲师（python/java）,8000,13000,10500,童程童美,培训机构已上市10000人以上,本科,经验不限,北京,Java,10500,0
金融项目Java开发,10000,14000,12000,中科软,计算机软件已上市10000人以上,本科,1,北京,Java,12000,1
Java中高级研发,10000,15000,12500,北财在线,计算机软件未融资20-99人,本科,1,北京,Java,12500,1
Java,6000,12000,9000,中科软,计算机软件已上市10000人以上,本科,1,北京,Java,9000,1
Java大数据方向,12000,24000,18000,世纪高通,数据服务不需要融资100-499人,本科,经验不限,北京,Java,18000,0
java初级开发工程师,7384.615385,12000,9692.307692,千里马招标网,互联网不需要融资500-999人,本科,1,北京,Java,9692.31,1
Java,7714.285714,12000,9857.142857,百得思维,计算机软件未融资1000-9999人,本科,1,北京,Java,9857.14,1
java后端开发工程师,11000,17000,14000,北京南天,计算机软件已上市1000-9999人,本科,经验不限,北京,Java,14000,0
高级JAVA开发工程师,20000,40000,30000,滴滴,移动互联网D轮及以上1000-9999人,本科,经验不限,北京,Java,30000,0
Java开发工程师（数据部）,8000,13000,10500,拓尔思,互联网已上市1000-9999人,本科,1,北京,Java,10500,1
java工程师,8000,13000,10500,小蜻蜓,互联网未融资20-99人,本科,经验不限,北京,Java,10500,0
校招-Java研发工程师-优酷,15000,30000,22500,阿里巴巴大文娱,互联网已上市1000-9999人,本科,应届生,北京,Java,22500,0
Java前端,8000,12000,10000,金泰亚盛,计算机软件D轮及以上100-499人,本科,1,北京,Java,10000,1
Java工程师,15000,30000,22500,小药药,医疗健康C轮1000-9999人,本科,经验不限,北京,Java,22500,0
Java开发工程师（2020校招）,10285.71429,17142.85714,13714.28571,新东方在线,在线教育不需要融资500-999人,本科,应届生,北京,Java,13714.29,0
对日java开发工程师,7000,12000,9500,优灿科技,计算机软件未融资500-999人,学历不限,经验不限,北京,Java,9500,0
Java开发工程师,8000,13000,10500,北京赛鼎,计算机软件不需要融资20-99人,本科,经验不限,北京,Java,10500,0
中级Java开发工程师,7384.615385,12000,9692.307692,贵州东方国信,计算机软件未融资20-99人,本科,经验不限,北京,Java,9692.31,0
Java,7000,14000,10500,中科软,互联网已上市10000人以上,本科,1,北京,Java,10500,1
2020-JAVA开发工程师,10285.71429,20571.42857,15428.57143,高思教育集团,在线教育D轮及以上1000-9999人,本科,应届生,北京,Java,15428.57,0
java,8000,10000,9000,云客科技,O2O天使轮0-20人,本科,应届生,北京,Java,9000,0
java运维工程师,8000,10000,9000,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java,9000,0
Java助教,7000,12000,9500,开课吧,互联网D轮及以上500-999人,本科,1,北京,Java,9500,1
初级Java工程师,8000,15000,11500,华兴资本,互联网金融不需要融资500-999人,本科,应届生,北京,Java,11500,0
Java研发工程师,10000,15000,12500,东信北邮,移动互联网未融资1000-9999人,本科,经验不限,北京,Java,12500,0
JAVA开发工程师,7000,10000,8500,举人在线,移动互联网100-499人,本科,应届生,北京,Java,8500,0
Java,7000,10000,8500,创世比特(北京),移动互联网未融资20-99人,本科,应届生,北京,Java,8500,0
java开发工程师（20届）,11000,14000,12500,思特奇,互联网已上市1000-9999人,本科,应届生,北京,Java,12500,0
java开发工程师,8000,13000,10500,新纽科技,计算机软件未融资500-999人,本科,1,北京,Java,10500,1
初级软件开发工程师-JAVA,6000,11000,8500,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java,8500,0
JAVA-web全栈工程师,15000,18000,16500,北京千喜鹤公司,餐饮不需要融资10000人以上,本科,经验不限,北京,Java,16500,0
Java,10000,15000,12500,日升天信,企业服务已上市500-999人,本科,1,北京,Java,12500,1
Java运维/自动化运维,8000,13000,10500,中软国际,计算机软件已上市10000人以上,本科,1,北京,Java,10500,1
Java开发工程师,7000,12000,9500,中科软,计算机软件已上市10000人以上,本科,1,北京,Java,9500,1
